pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=70%,kvB<=64k,kp<=32k,-0.1798,2
16,n<=128,sr<=70%,kvB<=64k,kp<=512,-0.0054,2
16,n<=128,sr<=70%,kvB<=64k,kp<=8k,-0.0145,2
16,n<=128,sr<=70%,kvB<=64k,kp=0,-0.0064,2
16,n<=128,sr>70%,kvB<=16k,kp<=16k,-0.8364,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.4314,4
16,n<=128,sr>70%,kvB<=16k,kp<=32k,-0.122,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.7755,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,-0.8209,4
16,n<=128,sr>70%,kvB<=16k,kp=0,0.9492,4
16,n<=128,sr>70%,kvB<=1k,kp<=16k,0.2805,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,-0.1114,4
16,n<=128,sr>70%,kvB<=1k,kp<=32k,0.4752,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,-1.1474,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.2278,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.6358,4
16,n<=128,sr>70%,kvB<=4k,kp<=16k,0.8732,3
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.9211,4
16,n<=128,sr>70%,kvB<=4k,kp<=32k,0.8346,3
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.2311,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.1693,4
16,n<=128,sr>70%,kvB<=4k,kp=0,0.9411,4
16,n<=128,sr>70%,kvB<=64k,kp<=16k,-0.67,2
16,n<=128,sr>70%,kvB<=64k,kp<=2k,0.8274,4
16,n<=128,sr>70%,kvB<=64k,kp<=32k,-0.7505,4
16,n<=128,sr>70%,kvB<=64k,kp<=512,0.9188,4
16,n<=128,sr>70%,kvB<=64k,kp<=8k,0.4791,4
16,n<=128,sr>70%,kvB<=64k,kp=0,0.9647,4
16,n<=16,sr<=15%,kvB<=16k,kp<=16k,0.4212,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.4123,4
16,n<=16,sr<=15%,kvB<=16k,kp<=32k,0.21,3
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.6042,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.0318,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.924,4
16,n<=16,sr<=15%,kvB<=1k,kp<=16k,0.0221,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0098,4
16,n<=16,sr<=15%,kvB<=1k,kp<=32k,0.002,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,-0.464,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,-0.0463,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.6463,4
16,n<=16,sr<=15%,kvB<=4k,kp<=16k,-0.1033,3
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,-0.0413,4
16,n<=16,sr<=15%,kvB<=4k,kp<=32k,-0.0723,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.2722,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.2085,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.705,4
16,n<=16,sr<=15%,kvB<=64k,kp<=16k,-0.0984,2
16,n<=16,sr<=15%,kvB<=64k,kp<=2k,0.7277,4
16,n<=16,sr<=15%,kvB<=64k,kp<=32k,-0.0367,4
16,n<=16,sr<=15%,kvB<=64k,kp<=512,0.8913,4
16,n<=16,sr<=15%,kvB<=64k,kp<=8k,0.4363,4
16,n<=16,sr<=15%,kvB<=64k,kp=0,0.9757,4
16,n<=16,sr<=40%,kvB<=16k,kp<=16k,0.9243,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.4142,4
16,n<=16,sr<=40%,kvB<=16k,kp<=32k,0.89,2
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.5133,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,-0.0901,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.899,4
16,n<=16,sr<=40%,kvB<=1k,kp<=16k,-0.1725,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.1037,4
16,n<=16,sr<=40%,kvB<=1k,kp<=32k,0.0167,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,-0.026,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.2156,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.6106,4
16,n<=16,sr<=40%,kvB<=4k,kp<=16k,-0.2392,2
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,-0.0305,3
16,n<=16,sr<=40%,kvB<=4k,kp<=32k,-0.2081,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.263,2
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1386,2
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.7552,4
16,n<=16,sr<=40%,kvB<=64k,kp<=16k,-0.1009,2
16,n<=16,sr<=40%,kvB<=64k,kp<=2k,0.685,4
16,n<=16,sr<=40%,kvB<=64k,kp<=32k,-0.078,4
16,n<=16,sr<=40%,kvB<=64k,kp<=512,0.8732,4
16,n<=16,sr<=40%,kvB<=64k,kp<=8k,0.4461,4
16,n<=16,sr<=40%,kvB<=64k,kp=0,0.9702,4
16,n<=16,sr<=70%,kvB<=16k,kp<=16k,0.2693,1
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,-0.5869,1
16,n<=16,sr<=70%,kvB<=16k,kp<=32k,0.2731,1
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.2383,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.3724,1
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.8651,2
16,n<=16,sr<=70%,kvB<=1k,kp<=16k,0.045,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.1787,1
16,n<=16,sr<=70%,kvB<=1k,kp<=32k,0.0338,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,-0.1041,1
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.9631,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,-1.0001,2
16,n<=16,sr<=70%,kvB<=4k,kp<=16k,0.9851,1
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.0728,1
16,n<=16,sr<=70%,kvB<=4k,kp<=32k,0.6082,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1218,1
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.2974,1
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.6508,2
16,n<=16,sr<=70%,kvB<=64k,kp<=16k,0.4437,1
16,n<=16,sr<=70%,kvB<=64k,kp<=2k,0.5182,2
16,n<=16,sr<=70%,kvB<=64k,kp<=32k,0.4723,1
16,n<=16,sr<=70%,kvB<=64k,kp<=512,0.794,2
16,n<=16,sr<=70%,kvB<=64k,kp<=8k,-0.4134,1
16,n<=16,sr<=70%,kvB<=64k,kp=0,0.9522,2
16,n<=16,sr>70%,kvB<=16k,kp<=16k,0.933,3
16,n<=16,sr>70%,kvB<=16k,kp<=2k,1.8333,4
16,n<=16,sr>70%,kvB<=16k,kp<=32k,0.9792,2
16,n<=16,sr>70%,kvB<=16k,kp<=512,-0.1413,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.8993,3
16,n<=16,sr>70%,kvB<=16k,kp=0,0.8799,4
16,n<=16,sr>70%,kvB<=1k,kp<=16k,0.3322,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.5005,4
16,n<=16,sr>70%,kvB<=1k,kp<=32k,-0.0759,3
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.7863,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.9141,4
16,n<=16,sr>70%,kvB<=1k,kp=0,-0.0484,2
16,n<=16,sr>70%,kvB<=4k,kp<=16k,0.9257,2
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.6493,3
16,n<=16,sr>70%,kvB<=4k,kp<=32k,1.0077,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.7065,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.8751,3
16,n<=16,sr>70%,kvB<=4k,kp=0,0.9036,2
16,n<=16,sr>70%,kvB<=64k,kp<=16k,0.9406,2
16,n<=16,sr>70%,kvB<=64k,kp<=2k,0.2291,4
16,n<=16,sr>70%,kvB<=64k,kp<=32k,0.9701,2
16,n<=16,sr>70%,kvB<=64k,kp<=512,0.6965,4
16,n<=16,sr>70%,kvB<=64k,kp<=8k,1.9687,4
16,n<=16,sr>70%,kvB<=64k,kp=0,0.9488,4
16,n<=2,sr<=70%,kvB<=16k,kp<=16k,0.2881,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,1.0303,2
16,n<=2,sr<=70%,kvB<=16k,kp<=32k,0.2838,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,1.1175,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.8333,1
16,n<=2,sr<=70%,kvB<=16k,kp=0,1.0078,2
16,n<=2,sr<=70%,kvB<=1k,kp<=16k,0.8711,1
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.7274,1
16,n<=2,sr<=70%,kvB<=1k,kp<=32k,0.395,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.8993,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9789,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.748,2
16,n<=2,sr<=70%,kvB<=4k,kp<=32k,1.2294,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,1.0832,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.137,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,1.003,2
