prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,1024,16,8192,76.0213
16,1024,16,16384,110.331
16,1024,16,32768,206.598
16,1024,16,65536,338.006
16,1024,32,16,47.8133
16,1024,32,32,47.76
16,1024,32,64,47.8237
16,1024,32,128,47.7548
16,1024,32,256,56.8857
16,1024,32,512,53.1517
16,1024,32,1024,72.08
16,1024,32,2048,65.2478
16,1024,32,4096,107.339
16,1024,32,8192,145.27
16,1024,32,16384,211.376
16,1024,32,32768,343.664
16,1024,32,65536,607.03
16,1024,64,16,48.96
16,1024,64,32,49.2052
16,1024,64,64,51.5732
16,1024,64,128,53.8453
16,1024,64,256,52.8427
16,1024,64,512,75.6745
16,1024,64,1024,89.2957
16,1024,64,2048,116.757
16,1024,64,4096,152.939
16,1024,64,8192,219.483
16,1024,64,16384,348.251
16,1024,64,32768,614.593
16,1024,64,65536,1142.95
16,1024,128,16,62.8263
16,1024,128,32,63.8402
16,1024,128,64,60.7412
16,1024,128,128,62.416
16,1024,128,256,71.9315
16,1024,128,512,86.6558
16,1024,128,1024,113.515
16,1024,128,2048,150.517
16,1024,128,4096,217.179
16,1024,128,8192,345.783
16,1024,128,16384,603.879
16,1024,128,32768,1126.82
16,1024,128,65536,2198.6
16,2048,0,0,47.7605
16,2048,1,16,47.6107
16,2048,1,32,47.6905
16,2048,1,64,47.84
16,2048,1,128,47.5097
16,2048,1,256,47.8455
16,2048,1,512,47.8563
16,2048,1,1024,47.3815
16,2048,1,2048,47.6852
16,2048,1,4096,51.5632
16,2048,1,8192,63.5998
16,2048,1,16384,89.0192
16,2048,1,32768,140.875
16,2048,1,65536,244.192
16,2048,2,16,47.6162
16,2048,2,32,47.6052
16,2048,2,64,47.6857
16,2048,2,128,47.8133
16,2048,2,256,47.7915
16,2048,2,512,48.0425
16,2048,2,1024,48.0267
16,2048,2,2048,49.205
16,2048,2,4096,51.1257
16,2048,2,8192,63.6955
16,2048,2,16384,89.3227
16,2048,2,32768,141.211
16,2048,2,65536,244.352
16,2048,4,16,47.6907
16,2048,4,32,48.1173
16,2048,4,64,48.2882
16,2048,4,128,48.0272
16,2048,4,256,48.4637
16,2048,4,512,48.757
16,2048,4,1024,48.4582
16,2048,4,2048,49.9362
16,2048,4,4096,52.6667
16,2048,4,8192,65.6427
16,2048,4,16384,91.8085
16,2048,4,32768,143.233
16,2048,4,65536,245.28
16,2048,8,16,48.4212
16,2048,8,32,48.6772
16,2048,8,64,48.4422
16,2048,8,128,48.5115
16,2048,8,256,48.7945
16,2048,8,512,49.8988
16,2048,8,1024,50.998
16,2048,8,2048,52.0213
16,2048,8,4096,56.6985
16,2048,8,8192,67.9357
16,2048,8,16384,93.6963
16,2048,8,32768,146.166
16,2048,8,65536,251.573
16,2048,16,16,50.1225
16,2048,16,32,50.1495
16,2048,16,64,50.2188
16,2048,16,128,50.2718
16,2048,16,256,50.064
16,2048,16,512,51.3285
16,2048,16,1024,52.3097
16,2048,16,2048,56.4157
16,2048,16,4096,63.2643
16,2048,16,8192,80.5805
16,2048,16,16384,110.203
16,2048,16,32768,228.011
16,2048,16,65536,363.947
16,2048,32,16,52.5343
16,2048,32,32,52.4478
16,2048,32,64,49.5252
16,2048,32,128,52.1227
16,2048,32,256,52.0063
16,2048,32,512,65.7387
16,2048,32,1024,58.9167
16,2048,32,2048,90.9018
16,2048,32,4096,84.3525
16,2048,32,8192,164.417
16,2048,32,16384,232.459
16,2048,32,32768,364.476
16,2048,32,65536,631.036
16,2048,64,16,58.5228
16,2048,64,32,58.6505
